Buffer_ID,class
BK710947,30000-40000
SI791665,10000-15000
QN1232651,20000-30000
QN1257136,20000-30000
QN731412,20000-30000
SI552093,15000-20000
MN112237,over 60000
BX52321,40000-50000
BK375431,40000-50000
BX429853,40000-50000
BX402318,40000-50000
BX369444,20000-30000
SI28925,20000-30000
QN280763,20000-30000
BX537827,20000-30000
BK816825,20000-30000
SI601274,10000-15000
SI683229,10000-15000
QN7840200,under 10000
SI631641,10000-15000
QN671525,30000-40000
QN1575139,30000-40000
SI697976,under 10000
BX485821,40000-50000
QN1089214,20000-30000
MN189563,over 60000
BK328732,over 60000
QN199938,40000-50000
MN17256,over 60000
BX238458,over 60000
SI89723,under 10000
QN1321537,15000-20000
QN8889,30000-40000
SI103013,15000-20000
BX5957189,20000-30000
SI622141,10000-15000
QN1553470,30000-40000
BK780921,40000-50000
BX260860,over 60000
QN407733,20000-30000
BX546648,15000-20000
BX502077,30000-40000
SI7826393,under 10000
SI755865,under 10000
QN1216031,20000-30000
BK162824,40000-50000
SI697972,under 10000
QN49080,40000-50000
QN108421,20000-30000
BK497626,30000-40000
SI297461,15000-20000
QN33219,30000-40000
QN1254080,15000-20000
BK37258,30000-40000
QN134571,15000-20000
BK7694111,30000-40000
BX489951,30000-40000
BK518462,over 60000
BK30611,over 60000
BX417728,20000-30000
BK435416,40000-50000
BX5757275,40000-50000
BX50063,40000-50000
BX3328101,40000-50000
BX398032,20000-30000
BX58141189,under 10000
SI8689,10000-15000
SI85175,10000-15000
QN8116146,10000-15000
QN174136,over 60000
SI518133,10000-15000
SI157149,15000-20000
BX353261,30000-40000
QN612010,under 10000
BX498511,30000-40000
QN156827,over 60000
BX495853,20000-30000
QN1557410,30000-40000
SI614635,10000-15000
QN1247715,20000-30000
